City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Grand-Santi,GF,4.25,-54.3833,74.39,97,99,2.53,overcast clouds
144,Bethel,US,41.3712,-73.414,91.67,70,20,4.61,few clouds
145,Stoughton,US,42.1251,-71.1023,90.05,74,40,5.75,scattered clouds
146,Krasnoselkup,RU,65.7,82.4667,50.76,88,100,11.45,moderate rain
147,Pisco,PE,-13.7,-76.2167,68.05,64,20,16.11,few clouds
148,La Ronge,CA,55.1001,-105.2842,73.62,40,20,10.36,few clouds
149,Okhotsk,RU,59.3833,143.3,57.34,96,100,11.41,light rain
150,Missoula,US,47.0166,-113.8009,79.2,13,1,8.9,clear sky
151,Hanmer Springs,NZ,-42.5167,172.8167,51.51,94,98,1.92,light rain
152,Sept-Iles,CA,50.2001,-66.3821,72.25,57,75,7.0,broken clouds
153,Bonavista,CA,48.6499,-53.1147,73.4,76,62,15.46,broken clouds
154,Bara,NG,10.3744,10.7288,77.18,77,98,10.07,overcast clouds
155,Geraldton,AU,-28.7667,114.6,55.81,94,90,5.75,overcast clouds
156,Tevaitoa,PF,-16.7833,-151.5,80.08,64,29,22.82,scattered clouds
157,Kodiak,US,57.79,-152.4072,63.55,67,62,2.42,broken clouds
158,Launceston,AU,-41.45,147.1667,46.15,98,75,0.0,broken clouds
159,Leningradskiy,RU,69.3833,178.4167,36.23,94,100,3.24,light rain
160,San Joaquin,US,37.9333,-121.3011,95.99,36,1,4.61,clear sky
161,Yatou,CN,37.15,122.3833,74.19,95,51,6.15,broken clouds
162,Araouane,ML,18.9048,-3.5265,97.12,21,31,3.42,scattered clouds
163,Baykit,RU,61.67,96.37,60.85,75,57,0.29,broken clouds
164,Axim,GH,4.8699,-2.2405,76.24,88,96,11.83,light rain
165,Moree,AU,-29.4667,149.85,41.02,81,2,8.05,clear sky
166,Luanda,AO,-8.8368,13.2343,73.4,88,75,6.91,broken clouds
167,Touros,BR,-5.1989,-35.4608,79.7,82,3,10.51,clear sky
168,Sucua,EC,-2.4667,-78.1667,75.94,83,75,5.75,moderate rain
169,Aripuana,BR,-9.1667,-60.6333,82.58,38,0,1.99,clear sky
170,Sayyan,YE,15.1718,44.3244,64.45,38,100,8.72,overcast clouds
171,Lavrentiya,RU,65.5833,-171.0,46.85,92,99,14.38,overcast clouds
172,Nikolskoye,RU,59.7035,30.7861,76.89,62,19,3.51,few clouds
173,Bristol,US,41.8334,-71.1662,90.28,73,1,1.99,clear sky
174,Kawalu,ID,-7.3817,108.2082,68.86,96,84,1.28,broken clouds
175,Zhucheng,CN,35.9947,119.3975,73.72,94,89,3.33,overcast clouds
176,Pitkyaranta,RU,61.5734,31.4792,58.51,62,0,6.53,clear sky
177,Conde,BR,-7.2597,-34.9075,74.66,100,75,5.75,broken clouds
178,Camacha,PT,33.0833,-16.3333,70.54,77,75,8.05,broken clouds
179,Tura,IN,25.5198,90.2201,74.08,98,99,6.13,overcast clouds
180,Guerrero Negro,MX,27.9769,-114.0611,77.25,58,38,18.25,scattered clouds
181,Cooma,AU,-36.2333,149.1333,38.97,75,85,11.5,light rain
182,Fukue,JP,32.6881,128.8419,78.28,78,13,10.74,few clouds
183,Nome,US,64.5011,-165.4064,49.15,81,90,8.05,overcast clouds
184,Samoylovka,RU,51.184,43.7081,68.61,84,100,4.09,overcast clouds
185,Balakovo,RU,52.0278,47.8007,67.5,81,67,3.4,broken clouds
186,Yulara,AU,-25.2406,130.9889,39.04,65,23,6.91,few clouds
187,Victoria,HK,22.2855,114.1577,82.45,89,100,3.0,light rain
188,Qaanaaq,GL,77.484,-69.3632,36.25,93,97,12.46,overcast clouds
189,Goderich,CA,43.7501,-81.7165,73.9,49,100,8.05,overcast clouds
190,Wajir,KE,1.7471,40.0573,76.89,55,65,19.35,broken clouds
191,Skibbereen,IE,51.55,-9.2667,66.0,89,3,1.59,clear sky
192,Rudbar,AF,30.15,62.6,91.9,39,95,11.25,overcast clouds
193,Khairagarh,IN,26.95,77.8167,94.3,45,100,5.12,overcast clouds
194,Tasiilaq,GL,65.6145,-37.6368,42.15,66,0,7.61,clear sky
195,Verkhnyaya Inta,RU,65.9811,60.3094,50.67,86,0,4.92,clear sky
196,Santa Maria,BR,-29.6842,-53.8069,54.7,88,20,4.61,few clouds
197,Mar Del Plata,AR,-38.0023,-57.5575,55.09,66,0,1.99,clear sky
198,Teya,RU,60.3778,92.6267,52.99,88,87,1.41,overcast clouds
199,Novikovo,RU,51.1537,37.8879,68.23,86,12,4.85,few clouds
200,Aksarka,RU,66.5606,67.7975,43.88,73,73,7.31,broken clouds
201,Varnamo,SE,57.186,14.04,69.06,89,7,5.41,clear sky
202,Sabya,SA,17.1495,42.6254,91.02,66,100,9.78,overcast clouds
203,Arlit,NE,18.7369,7.3853,98.92,11,2,6.85,clear sky
204,Qasigiannguit,GL,68.8193,-51.1922,48.72,54,50,1.21,scattered clouds
205,Sabang,ID,5.8933,95.3214,81.45,79,9,8.77,clear sky
206,Preobrazheniye,RU,42.9019,133.9064,71.74,90,9,7.78,clear sky
207,Erzin,TR,36.9559,36.2,79.0,80,0,0.6,clear sky
208,Nalut,LY,30.3333,10.85,89.73,32,2,13.15,clear sky
209,Ilulissat,GL,69.2167,-51.1,49.14,53,94,4.34,overcast clouds
210,Dingle,PH,10.9995,122.6711,75.83,91,99,6.62,light rain
211,San Patricio,US,28.017,-97.5169,92.12,54,34,17.09,scattered clouds
212,Yarkovo,RU,57.4028,67.0786,51.3,88,4,2.73,clear sky
213,Tuatapere,NZ,-46.1333,167.6833,44.82,95,100,2.15,light rain
214,Netivot,IL,31.4222,34.5886,77.9,80,0,4.23,clear sky
215,Srednekolymsk,RU,67.45,153.6833,65.68,49,100,2.48,overcast clouds
216,Menomonie,US,44.8755,-91.9193,84.97,38,40,5.75,scattered clouds
217,Ciudad Bolivar,VE,8.1222,-63.5497,84.25,67,88,4.52,overcast clouds
218,Luderitz,NA,-26.6481,15.1594,60.49,37,0,8.68,clear sky
219,Cayenne,GF,4.9333,-52.3333,81.09,83,75,2.3,broken clouds
220,Maarianhamina,AX,60.0973,19.9348,49.86,93,0,2.3,clear sky
221,Hervey Bay,AU,-25.2986,152.8535,55.51,69,2,15.01,clear sky
222,Matay,EG,28.419,30.7792,88.95,25,0,12.24,clear sky
223,Bandarbeyla,SO,9.4942,50.8122,76.03,83,77,35.72,broken clouds
224,Intipuca,SV,13.1969,-88.0544,89.76,50,22,6.73,few clouds
225,Hithadhoo,MV,-0.6,73.0833,82.78,75,82,11.86,broken clouds
226,Tema,GH,5.667,-0.0166,75.61,94,75,1.14,light rain
227,Vanavara,RU,60.34,102.2797,61.0,92,87,2.01,overcast clouds
228,Makakilo City,US,21.3469,-158.0858,84.56,62,90,9.22,overcast clouds
229,Eatontown,US,40.2962,-74.051,95.22,57,1,6.91,clear sky
230,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,81,75,11.5,broken clouds
231,Nabire,ID,-3.3667,135.4833,75.16,91,99,2.95,overcast clouds
232,Port Blair,IN,11.6667,92.75,81.34,81,100,10.71,overcast clouds
233,Leticia,CO,-4.2153,-69.9406,78.85,89,75,2.3,moderate rain
234,Padilla,CO,3.2204,-76.3139,83.77,70,38,2.28,scattered clouds
235,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,87,76,6.29,broken clouds
236,Bjorkelangen,NO,59.8848,11.5694,68.88,83,0,4.54,clear sky
237,Nishihara,JP,26.1842,127.7558,81.68,84,75,6.91,broken clouds
238,Huilong,CN,31.8111,121.655,79.99,92,100,13.67,overcast clouds
239,Buchanan,LR,5.8808,-10.0467,75.16,90,91,8.52,moderate rain
240,Whitehaven,GB,54.549,-3.5841,64.81,86,0,4.38,clear sky
241,South Venice,US,27.0531,-82.4243,91.38,70,75,5.75,broken clouds
242,Muravlenko,RU,63.7898,74.523,49.1,98,100,8.43,overcast clouds
243,Davila,PH,18.4726,120.5763,76.98,80,86,5.77,overcast clouds
244,Buraydah,SA,26.326,43.975,97.25,15,91,15.05,overcast clouds
245,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,14.97,scattered clouds
246,Padang,ID,-0.9492,100.3543,75.43,74,70,4.47,broken clouds
247,Liku,ID,-0.7275,119.8922,73.09,91,100,5.37,overcast clouds
248,Safaga,EG,26.7292,33.9365,91.35,35,11,8.7,few clouds
249,Katsuura,JP,35.1333,140.3,82.11,85,14,4.25,few clouds
250,Sheffield,GB,53.383,-1.4659,69.76,88,34,1.43,scattered clouds
251,Along,IN,28.1667,94.7667,74.71,98,98,0.89,light rain
252,Barabinsk,RU,55.3571,78.357,51.75,96,100,8.39,light rain
253,Airai,TL,-8.9266,125.4092,55.67,60,55,2.75,broken clouds
254,Linxia,CN,35.6003,103.2064,61.38,83,36,3.33,scattered clouds
255,Zhuhai,CN,22.2769,113.5678,84.06,83,20,6.91,few clouds
256,Evensk,RU,61.95,159.2333,58.06,79,82,9.06,broken clouds
257,Nelson Bay,AU,-32.7167,152.15,57.76,65,7,4.0,clear sky
258,Prince Rupert,CA,54.3161,-130.3201,56.89,85,90,2.3,moderate rain
259,Ostrovnoy,RU,68.0531,39.5131,52.05,80,67,9.73,broken clouds
260,Saint-Pierre,RE,-21.3393,55.4781,69.48,73,40,13.8,scattered clouds
261,Peniche,PT,39.3558,-9.3811,80.08,88,0,5.59,clear sky
262,Belogorsk,RU,50.9158,128.4611,66.81,75,70,6.29,broken clouds
263,Garowe,SO,8.4054,48.4845,79.77,45,100,27.96,overcast clouds
264,Beidao,CN,34.5686,105.8933,68.07,92,91,0.76,overcast clouds
265,Antofagasta,CL,-23.65,-70.4,56.48,84,86,6.87,overcast clouds
266,Thompson,CA,55.7435,-97.8558,77.16,53,40,10.36,smoke
267,Mehran,IR,33.1222,46.1646,89.08,12,0,7.02,clear sky
268,Gangapur,IN,26.4833,76.7167,94.17,42,99,13.22,overcast clouds
269,Beruwala,LK,6.4788,79.9828,79.27,86,77,10.89,broken clouds
270,Guaratuba,BR,-25.8828,-48.5747,63.81,96,100,4.54,light rain
271,Svarstad,NO,59.399,9.9698,69.01,1,0,3.36,clear sky
272,Gaillac,FR,43.9016,1.8969,71.74,89,9,5.17,clear sky
273,Qax,AZ,41.4225,46.9242,70.79,52,2,6.06,clear sky
274,Anadyr,RU,64.75,177.4833,52.3,93,75,13.0,light rain
275,Tiksi,RU,71.6872,128.8694,38.28,82,100,11.27,overcast clouds
276,Lichinga,MZ,-13.3128,35.2406,53.69,87,20,13.8,few clouds
277,Songjianghe,CN,42.1859,127.479,67.23,96,5,2.86,clear sky
278,Bengkulu,ID,-3.8004,102.2655,76.51,81,71,3.98,broken clouds
279,Reconquista,AR,-29.15,-59.65,56.41,65,0,5.64,clear sky
280,Palora,EC,-1.7,-77.9333,75.18,89,27,0.6,light rain
281,Pemangkat,ID,1.1667,108.9667,78.24,82,97,2.59,overcast clouds
282,Agarakadzor,AM,39.7341,45.3527,71.69,64,7,5.37,clear sky
283,Svetlyy,RU,54.675,20.1347,73.45,95,19,4.74,moderate rain
