City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Ludvika,SE,2021-07-11 21:57:49,60.1496,15.1878,60.6,87,0,4.34
192,Richards Bay,ZA,2021-07-11 21:57:49,-28.783,32.0377,66.11,70,0,13.67
193,Sept-Iles,CA,2021-07-11 21:57:50,50.2001,-66.3821,63.25,91,75,3.0
194,Flinders,AU,2021-07-11 21:57:50,-34.5833,150.8552,47.21,91,100,1.01
195,Krasnoselkup,RU,2021-07-11 21:57:50,65.7,82.4667,47.34,60,65,7.43
196,Sampit,ID,2021-07-11 21:57:50,-2.5333,112.95,72.86,97,39,2.15
197,Barcelos,PT,2021-07-11 21:57:51,41.5388,-8.6151,65.28,89,94,7.7
198,Brits,ZA,2021-07-11 21:57:51,-25.6347,27.7802,57.45,39,0,1.86
199,Vanimo,PG,2021-07-11 21:57:51,-2.6741,141.3028,78.6,84,70,3.94
200,Okoneshnikovo,RU,2021-07-11 21:57:52,54.8377,75.0834,65.98,52,93,6.35
201,Linhares,BR,2021-07-11 21:57:52,-19.3911,-40.0722,66.18,88,8,3.71
202,Cravo Norte,CO,2021-07-11 21:57:52,6.3017,-70.2041,79.79,83,86,5.77
203,Iqaluit,CA,2021-07-11 21:57:52,63.7506,-68.5145,60.53,48,75,6.91
204,Padang,ID,2021-07-11 21:57:53,-0.9492,100.3543,75.25,87,98,4.16
205,Sarakhs,IR,2021-07-11 21:53:17,36.5449,61.1577,80.74,39,1,2.3
206,Nanortalik,GL,2021-07-11 21:57:53,60.1432,-45.2371,41.41,99,100,2.8
207,Gitega,BI,2021-07-11 21:57:53,-3.5,29.95,63.73,51,90,3.11
208,Khatanga,RU,2021-07-11 21:57:54,71.9667,102.5,48.87,46,90,7.47
209,Salisbury,GB,2021-07-11 21:57:54,51.0693,-1.7957,59.61,91,89,4.25
210,Palma Del Rio,ES,2021-07-11 21:57:54,37.7002,-5.2812,90.07,55,12,9.4
211,Vernon,CA,2021-07-11 21:57:54,50.2581,-119.2691,98.13,20,0,4.61
212,Novonikolayevskiy,RU,2021-07-11 21:57:55,50.9738,42.3649,66.29,70,0,7.49
213,Santa Maria,BR,2021-07-11 21:57:55,-29.6842,-53.8069,63.7,100,0,5.75
